Name,Value,DOB,Season,Competition,Club ID#,PPG,Goals,Assists,Minutes,Age,Yellow Cards,Double Yellow,Red Card,Goal Contribution
Diogo Jota,40.23,"Dec 4, 1996",2017,EFL Cup,1,3.00,0,0,21',21,0,0,0,0.0
Diogo Jota,40.23,"Dec 4, 1996",2017,FA Cup,1,000,1,0,26',21,0,0,0,1.0
Diogo Jota,40.23,"Dec 4, 1996",2018,EFL Cup,1,000,0,0,33',22,1,0,0,0.0
Diogo Jota,40.23,"Dec 4, 1996",2018,FA Cup,3,2.00,1,2,228',22,0,0,0,3.0
Diogo Jota,40.23,"Dec 4, 1996",2018,Premier League,33,1.61,9,5,2.369',22,11,0,0,14.0
Diogo Jota,40.23,"Dec 4, 1996",2019,Europa League,8,1.75,6,0,373',23,0,1,0,6.0
Diogo Jota,40.23,"Dec 4, 1996",2019,Europa League Qualifying,6,3.00,3,5,389',23,1,0,0,8.0
Diogo Jota,40.23,"Dec 4, 1996",2019,Premier League,34,1.44,7,1,2.298',23,4,0,0,8.0
Joelinton,39.60,"Aug 14, 1996",2015,Bundesliga,1.0,0.0,0,0,0,19,0,0,0,0.0
Joelinton,39.60,"Aug 14, 1996",2016,Bundesliga,33.0,1.33,8,5,2.386',20,7,1,0,13.0
Joelinton,39.60,"Aug 14, 1996",2016,Europa League,6.0,1.0,2,0,418',20,2,0,0,2.0
Joelinton,39.60,"Aug 14, 1996",2016,Europa League Qualifying,4.0,1.75,0,1,335',20,0,0,0,1.0
Joelinton,39.60,"Aug 14, 1996",2016,ÖFB-Cup,5.0,2.4,3,1,265',20,0,0,0,4.0
Joelinton,39.60,"Aug 14, 1996",2017,Bundesliga,27.0,1.41,7,1,1.703',21,6,0,1,8.0
Joelinton,39.60,"Aug 14, 1996",2017,ÖFB-Cup,4.0,3.0,1,1,264',21,0,0,0,2.0
Joelinton,39.60,"Aug 14, 1996",2018,Bundesliga,28.0,1.43,7,7,2.136',22,5,0,0,14.0
Joelinton,39.60,"Aug 14, 1996",2018,Champions League,5.0,0.6,1,1,389',22,1,0,0,2.0
Joelinton,39.60,"Aug 14, 1996",2018,DFB-Pokal,2.0,1.5,3,1,122',22,0,0,0,4.0
Joelinton,39.60,"Aug 14, 1996",2019,FA Cup,6.0,1.83,2,2,421',23,1,0,0,4.0
Joelinton,39.60,"Aug 14, 1996",2019,Premier League,38.0,1.16,2,2,2.697',23,7,0,0,4.0
Joelinton,39.60,"Aug 14, 1996",2015,Série A,5.0,2.2,1,3,369',19,1,0,0,4.0
Andriy Shevchenko,39.49,"Sep 29, 1976",1995,Champions League Qualifying,2,3.00,2,0,180',19,1,0,0,2.0
Andriy Shevchenko,39.49,"Sep 29, 1976",1995,Ukrainian Cup,1,3.00,0,0,90',19,0,0,0,0.0
Andriy Shevchenko,39.49,"Sep 29, 1976",1997,Champions League,8,1.50,5,2,720',21,0,0,0,7.0
Andriy Shevchenko,39.49,"Sep 29, 1976",1997,Champions League Qualifying,2,1.50,1,0,180',21,1,0,0,1.0
Andriy Shevchenko,39.49,"Sep 29, 1976",1997,Ukrainian Cup,1,3.00,2,0,120',21,0,0,0,2.0
Andriy Shevchenko,39.49,"Sep 29, 1976",1998,Champions League,10,1.60,8,0,900',22,0,0,0,8.0
Andriy Shevchenko,39.49,"Sep 29, 1976",1998,Champions League Qualifying,4,2.25,2,0,369',22,1,0,0,2.0
Andriy Shevchenko,39.49,"Sep 29, 1976",1998,Ukrainian Cup,1,3.00,2,0,120',22,0,0,0,2.0
Andriy Shevchenko,39.49,"Sep 29, 1976",1999,Champions League,6,1.00,1,3,537',23,2,0,0,4.0
Andriy Shevchenko,39.49,"Sep 29, 1976",1999,Coppa Italia,4,1.00,4,1,300',23,0,0,0,5.0
Andriy Shevchenko,39.49,"Sep 29, 1976",1999,Serie A,32,1.81,24,3,2.605',23,3,0,0,27.0
Andriy Shevchenko,39.49,"Sep 29, 1976",1999,Supercoppa Italiana,1,000,0,0,90',23,0,0,0,0.0
Falcao,38.70,"Feb 10, 1986",2005,Torneo Inicial,7,2.29,7,0,608',19,3,0,0,7.0
Falcao,38.70,"Feb 10, 1986",2006,Torneo Final,8,1.38,2,0,579',20,2,0,0,2.0
Falcao,38.70,"Feb 10, 1986",2006,Torneo Inicial,12,2.08,1,0,445',20,0,0,0,1.0
Falcao,38.70,"Feb 10, 1986",2007,Torneo Final,16,1.00,6,1,1.392',21,1,0,0,7.0
Falcao,38.70,"Feb 10, 1986",2007,Torneo Inicial,11,1.45,5,1,837',21,4,0,0,6.0
Falcao,38.70,"Feb 10, 1986",2008,Torneo Final,18,1.50,8,3,1.519',22,1,0,0,11.0
Falcao,38.70,"Feb 10, 1986",2008,Torneo Inicial,14,0.36,5,0,1.140',22,3,0,0,5.0
Falcao,38.70,"Feb 10, 1986",2009,Allianz Cup,2,1.50,0,0,134',23,0,0,0,0.0
Falcao,38.70,"Feb 10, 1986",2009,Champions League,8,1.88,4,1,639',23,1,0,0,5.0
Falcao,38.70,"Feb 10, 1986",2009,Liga NOS,28,2.21,25,7,2.321',23,5,0,0,32.0
Falcao,38.70,"Feb 10, 1986",2009,Taça de Portugal Placard,5,3.00,5,2,376',23,0,0,0,7.0
Falcao,38.70,"Feb 10, 1986",2007,Copa Sudamericana,1,1.00,0,0,90',21,1,0,0,0.0
Falcao,38.70,"Feb 10, 1986",2007,Libertadores,1,3.00,0,0,63',21,0,0,1,0.0
Falcao,38.70,"Feb 10, 1986",2008,Copa Sudamericana,2,0.50,1,0,166',22,0,0,0,1.0
Falcao,38.70,"Feb 10, 1986",2008,Libertadores,7,1.43,4,1,522',22,1,0,1,5.0
Falcao,38.70,"Feb 10, 1986",2009,Libertadores,4,0.25,2,0,360',23,0,0,0,2.0
Robinho,38.70,"Jan 25, 1984",2005,Champions League,8.0,1.38,0,3,599',21,0,0,0,3.0
Robinho,38.70,"Jan 25, 1984",2005,Copa del Rey,6.0,2.5,4,0,539',21,0,0,0,4.0
Robinho,38.70,"Jan 25, 1984",2005,LaLiga,37.0,1.89,8,6,2.707',21,5,0,0,14.0
Robinho,38.70,"Jan 25, 1984",2006,Champions League,7.0,1.86,1,1,346',22,1,0,0,2.0
Robinho,38.70,"Jan 25, 1984",2006,Copa del Rey,4.0,1.5,1,0,201',22,0,0,0,1.0
Robinho,38.70,"Jan 25, 1984",2006,LaLiga,32.0,2.03,6,5,1.959',22,3,1,0,11.0
Robinho,38.70,"Jan 25, 1984",2007,Champions League,6.0,1.67,4,4,402',23,2,0,0,8.0
Robinho,38.70,"Jan 25, 1984",2007,Copa del Rey,2.0,0.0,0,0,116',23,0,0,0,0.0
Robinho,38.70,"Jan 25, 1984",2007,LaLiga,32.0,2.44,11,8,2.151',23,3,0,0,19.0
Robinho,38.70,"Jan 25, 1984",2007,Supercopa,2.0,0.0,0,0,180',23,0,0,0,0.0
Robinho,38.70,"Jan 25, 1984",2003,Copa Sudamericana,6.0,1.5,2,0,482',19,1,0,0,2.0
Robinho,38.70,"Jan 25, 1984",2003,Libertadores,14.0,2.0,4,0,1.154',19,0,0,0,4.0
Robinho,38.70,"Jan 25, 1984",2004,Copa Sudamericana,2.0,2.0,0,0,210',20,0,0,0,0.0
Robinho,38.70,"Jan 25, 1984",2004,Libertadores,8.0,1.75,4,0,745',20,0,0,1,4.0
Robinho,38.70,"Jan 25, 1984",2005,Libertadores,9.0,1.67,6,0,802',21,0,0,0,6.0
Alexis Sánchez,38.25,"Dec 19, 1988",2007,Torneo Final,17,1.12,2,1,1.019',19,3,0,0,3.0
Alexis Sánchez,38.25,"Dec 19, 1988",2007,Torneo Inicial,6,1.17,2,2,223',19,2,0,0,4.0
Alexis Sánchez,38.25,"Dec 19, 1988",2008,Coppa Italia,2,1.50,0,1,148',20,1,0,0,1.0
Alexis Sánchez,38.25,"Dec 19, 1988",2008,Serie A,32,1.47,3,2,1.713',20,5,0,1,5.0
Alexis Sánchez,38.25,"Dec 19, 1988",2008,UEFA Cup,9,1.89,0,0,557',20,3,0,0,0.0
Alexis Sánchez,38.25,"Dec 19, 1988",2009,Coppa Italia,4,2.25,1,2,345',21,1,0,0,3.0
Alexis Sánchez,38.25,"Dec 19, 1988",2009,Serie A,32,1.19,5,4,2.280',21,5,0,0,9.0
Alexis Sánchez,38.25,"Dec 19, 1988",2010,Coppa Italia,2,1.50,0,1,130',22,1,0,0,1.0
Alexis Sánchez,38.25,"Dec 19, 1988",2010,Serie A,31,1.87,12,10,2.387',22,5,1,0,22.0
Alexis Sánchez,38.25,"Dec 19, 1988",2011,Champions League,6,1.83,2,0,356',23,0,0,0,2.0
Alexis Sánchez,38.25,"Dec 19, 1988",2011,Club World Cup,1,3.00,0,0,51',23,0,0,0,0.0
Alexis Sánchez,38.25,"Dec 19, 1988",2011,Copa del Rey,7,2.43,1,0,456',23,0,0,0,1.0
Alexis Sánchez,38.25,"Dec 19, 1988",2011,LaLiga,25,2.32,11,7,1.658',23,4,0,0,18.0
Alexis Sánchez,38.25,"Dec 19, 1988",2011,Supercopa,1,1.00,0,0,90',23,1,0,0,0.0
Alexis Sánchez,38.25,"Dec 19, 1988",2011,UEFA Super Cup,1,3.00,0,0,29',23,0,0,0,0.0
Alexis Sánchez,38.25,"Dec 19, 1988",2007,Libertadores,4,2.25,3,1,336',19,0,0,0,4.0
Alexis Sánchez,38.25,"Dec 19, 1988",2008,Libertadores,7,1.43,0,0,391',20,3,0,0,0.0
Patrik Schick,37.80,"Jan 24, 1996",2015,MOL Cup,2,1.50,1,0,180',19,0,0,0,1.0
Patrik Schick,37.80,"Jan 24, 1996",2015,Synot Liga,27,1.22,7,1,1.925',19,2,0,0,8.0
Patrik Schick,37.80,"Jan 24, 1996",2016,Coppa Italia,3,2.00,2,0,149',20,0,0,0,2.0
Patrik Schick,37.80,"Jan 24, 1996",2016,Serie A,32,1.16,11,4,1.504',20,2,0,0,15.0
Patrik Schick,37.80,"Jan 24, 1996",2017,Champions League,3,2.00,0,0,207',21,0,0,0,0.0
Patrik Schick,37.80,"Jan 24, 1996",2017,Coppa Italia,1,000,1,0,90',21,0,0,0,1.0
Patrik Schick,37.80,"Jan 24, 1996",2017,Serie A,22,1.73,2,0,984',21,0,0,0,2.0
Patrik Schick,37.80,"Jan 24, 1996",2018,Champions League,6,1.00,0,0,250',22,1,0,0,0.0
Patrik Schick,37.80,"Jan 24, 1996",2018,Coppa Italia,2,1.50,2,1,180',22,0,0,0,3.0
Patrik Schick,37.80,"Jan 24, 1996",2018,Serie A,24,1.75,3,2,1.315',22,4,0,0,5.0
Patrik Schick,37.80,"Jan 24, 1996",2019,Bundesliga,22,1.82,10,2,1.300',23,3,0,0,12.0
Patrik Schick,37.80,"Jan 24, 1996",2019,Champions League,5,2.00,0,1,238',23,0,0,0,1.0
Patrik Schick,37.80,"Jan 24, 1996",2019,DFB-Pokal,1,000,0,0,90',23,0,0,0,0.0
Patrik Schick,37.80,"Jan 24, 1996",2019,Serie A,-,-,0,0,0,23,0,0,0,0.0
Mohamed Salah,37.80,"Jun 15, 1992",2011,Premier League,15.0,0.67,7,3,1.318',19,1,0,0,10.0
Mohamed Salah,37.80,"Jun 15, 1992",2012,Champions League Qualifying,2.0,0.5,0,0,106',20,0,0,0,0.0
Mohamed Salah,37.80,"Jun 15, 1992",2012,Europa League,14.0,1.43,2,5,947',20,0,0,0,7.0
Mohamed Salah,37.80,"Jun 15, 1992",2012,Super League,29.0,2.1,5,4,1.441',20,0,0,0,9.0
Mohamed Salah,37.80,"Jun 15, 1992",2012,Swiss Cup,5.0,3.0,3,2,379',20,2,0,0,5.0
Mohamed Salah,37.80,"Jun 15, 1992",2013,Champions League,6.0,1.33,2,0,532',21,0,0,0,2.0
Mohamed Salah,37.80,"Jun 15, 1992",2013,Champions League Qualifying,4.0,2.5,3,1,321',21,2,0,0,4.0
Mohamed Salah,37.80,"Jun 15, 1992",2013,FA Cup,1.0,0.0,0,0,44',21,0,0,0,0.0
Mohamed Salah,37.80,"Jun 15, 1992",2013,Premier League,10.0,2.0,2,2,500',21,1,0,0,4.0
Mohamed Salah,37.80,"Jun 15, 1992",2013,Schweizer Cup,1.0,3.0,1,0,77',21,0,0,0,1.0
Mohamed Salah,37.80,"Jun 15, 1992",2013,Super League,18.0,1.83,4,5,1.150',21,1,0,0,9.0
Mohamed Salah,37.80,"Jun 15, 1992",2014,Champions League,2.0,3.0,0,0,77',22,0,0,0,0.0
Mohamed Salah,37.80,"Jun 15, 1992",2014,Coppa Italia,2.0,1.5,2,0,164',22,0,0,0,2.0
Mohamed Salah,37.80,"Jun 15, 1992",2014,Europa League,8.0,1.5,1,1,718',22,1,0,0,2.0
Mohamed Salah,37.80,"Jun 15, 1992",2014,FA Cup,1.0,0.0,0,1,70',22,0,0,0,1.0
Mohamed Salah,37.80,"Jun 15, 1992",2014,League Cup,2.0,3.0,0,1,160',22,0,0,0,1.0
Mohamed Salah,37.80,"Jun 15, 1992",2014,Premier League,3.0,2.0,0,0,30',22,0,0,0,0.0
Mohamed Salah,37.80,"Jun 15, 1992",2014,Serie A,16.0,1.81,6,3,910',22,0,0,0,9.0
Mohamed Salah,37.80,"Jun 15, 1992",2015,Champions League,7.0,0.86,1,1,543',23,0,0,0,2.0
Mohamed Salah,37.80,"Jun 15, 1992",2015,Coppa Italia,1.0,0.0,0,0,120',23,0,0,0,0.0
Mohamed Salah,37.80,"Jun 15, 1992",2015,Serie A,34.0,2.21,14,6,2.739',23,1,1,0,20.0
Jackson Martínez,37.80,"Oct 3, 1986",2009,Primera Clausura,13,1.00,9,2,1.093',23,2,0,0,11.0
Jackson Martínez,37.80,"Oct 3, 1986",2009,Fase Final LP II,6,2.33,5,1,487',23,1,1,0,6.0
Jackson Martínez,37.80,"Oct 3, 1986",2009,Libertadores,5,1.40,3,1,446',23,1,0,0,4.0
Jackson Martínez,37.80,"Oct 3, 1986",2009,Liga DIMAYOR II,17,2.06,13,2,1.530',23,4,0,0,15.0
Sadio Mané,37.08,"Apr 10, 1992",2011,Ligue 2,19,0.63,1,1,1.171',19,4,0,0,2.0
Sadio Mané,37.08,"Apr 10, 1992",2012,Bundesliga,26,2.23,16,9,2.123',20,6,1,0,25.0
Sadio Mané,37.08,"Apr 10, 1992",2012,Championnat National,3,3.00,1,0,202',20,0,0,0,1.0
Sadio Mané,37.08,"Apr 10, 1992",2012,Coupe de la Ligue,1,3.00,0,0,88',20,0,0,0,0.0
Sadio Mané,37.08,"Apr 10, 1992",2012,ÖFB-Cup,3,2.00,3,1,270',20,1,0,0,4.0
Sadio Mané,37.08,"Apr 10, 1992",2013,Bundesliga,33,2.15,13,13,2.521',21,6,0,1,26.0
Sadio Mané,37.08,"Apr 10, 1992",2013,Champions League Qualifying,2,0.50,0,0,172',21,1,0,0,0.0
Sadio Mané,37.08,"Apr 10, 1992",2013,Europa League,11,2.55,5,3,865',21,1,1,0,8.0
Sadio Mané,37.08,"Apr 10, 1992",2013,ÖFB-Cup,4,3.00,5,2,345',21,0,0,0,7.0
Sadio Mané,37.08,"Apr 10, 1992",2014,Bundesliga,4,3.00,2,4,295',22,0,1,0,6.0
Sadio Mané,37.08,"Apr 10, 1992",2014,Champions League Qualifying,3,2.00,0,0,259',22,0,0,0,0.0
Sadio Mané,37.08,"Apr 10, 1992",2014,League Cup,2,1.50,0,1,143',22,1,0,0,1.0
Sadio Mané,37.08,"Apr 10, 1992",2014,Premier League,30,1.37,10,4,2.135',22,5,0,0,14.0
Sadio Mané,37.08,"Apr 10, 1992",2014,ÖFB-Cup,1,3.00,1,0,90',22,0,0,0,1.0
Sadio Mané,37.08,"Apr 10, 1992",2015,Europa League Qualifying,3,2.33,1,2,265',23,0,0,0,3.0
Sadio Mané,37.08,"Apr 10, 1992",2015,FA Cup,1,000,0,0,90',23,1,0,0,0.0
Sadio Mané,37.08,"Apr 10, 1992",2015,League Cup,2,1.50,3,0,155',23,0,0,0,3.0
Sadio Mané,37.08,"Apr 10, 1992",2015,Premier League,37,1.62,11,7,2.606',23,4,1,1,18.0
Malcom,36.90,"Feb 26, 1997",2016,Coupe de France,4.0,2.25,2,0,198',19,0,0,0,2.0
Malcom,36.90,"Feb 26, 1997",2016,Coupe de la Ligue,4.0,2.25,0,2,335',19,0,0,0,2.0
Malcom,36.90,"Feb 26, 1997",2016,Ligue 1,37.0,1.57,7,5,2.742',19,2,0,0,12.0
Malcom,36.90,"Feb 26, 1997",2017,Coupe de France,1.0,0.0,0,0,77',20,1,0,0,0.0
Malcom,36.90,"Feb 26, 1997",2017,Europa League Qualifying,2.0,1.5,0,1,180',20,0,0,0,1.0
Malcom,36.90,"Feb 26, 1997",2017,Ligue 1,35.0,1.54,12,7,2.867',20,2,0,0,19.0
Malcom,36.90,"Feb 26, 1997",2018,Champions League,3.0,1.33,1,0,39',21,0,0,0,1.0
Malcom,36.90,"Feb 26, 1997",2018,Copa del Rey,6.0,1.17,2,0,420',21,0,0,0,2.0
Malcom,36.90,"Feb 26, 1997",2018,LaLiga,15.0,1.73,1,2,608',21,0,0,0,3.0
Malcom,36.90,"Feb 26, 1997",2019,Premier Liga,12.0,2.33,4,1,827',22,0,0,0,5.0
Malcom,36.90,"Feb 26, 1997",2019,Russian Cup,3.0,3.0,0,2,298',22,0,0,0,2.0
Malcom,36.90,"Feb 26, 1997",2020,Champions League,1.0,0.0,0,0,90',23,0,0,0,0.0
Malcom,36.90,"Feb 26, 1997",2020,Premier Liga,11.0,2.0,1,1,822',23,1,0,0,2.0
Malcom,36.90,"Feb 26, 1997",2020,Russian Super Cup,1.0,3.0,0,0,81',23,0,0,0,0.0
Roberto Firmino,36.90,"Oct 2, 1991",2010,Bundesliga,11,0.91,3,0,467',19,1,0,0,3.0
Roberto Firmino,36.90,"Oct 2, 1991",2010,DFB-Pokal,-,-,0,0,0,19,0,0,0,0.0
Roberto Firmino,36.90,"Oct 2, 1991",2011,Bundesliga,30,1.37,7,4,2.190',20,4,0,0,11.0
Roberto Firmino,36.90,"Oct 2, 1991",2011,DFB-Pokal,3,2.00,0,0,300',20,0,0,0,0.0
Roberto Firmino,36.90,"Oct 2, 1991",2012,Bundesliga,33,0.94,5,3,2.470',21,9,0,0,8.0
Roberto Firmino,36.90,"Oct 2, 1991",2012,Bundesliga Playoffs,2,3.00,2,1,180',21,0,0,0,3.0
Roberto Firmino,36.90,"Oct 2, 1991",2012,DFB-Pokal,1,000,0,0,60',21,0,0,0,0.0
Roberto Firmino,36.90,"Oct 2, 1991",2013,Bundesliga,33,1.24,16,12,2.915',22,5,0,0,28.0
Roberto Firmino,36.90,"Oct 2, 1991",2013,DFB-Pokal,4,2.25,6,4,382',22,1,0,0,10.0
Roberto Firmino,36.90,"Oct 2, 1991",2014,Bundesliga,33,1.33,7,10,2.918',23,5,0,0,17.0
Roberto Firmino,36.90,"Oct 2, 1991",2014,DFB-Pokal,3,2.00,3,2,283',23,2,0,0,5.0
Roberto Firmino,36.90,"Oct 2, 1991",2010,Série B,36,1.75,8,0,1.938',19,3,0,0,8.0
Andy Carroll,36.90,"Jan 6, 1989",2008,FA Cup,2,0.50,0,0,104',19,0,0,0,0.0
Andy Carroll,36.90,"Jan 6, 1989",2008,Premier League,14,0.79,3,1,529',19,2,0,0,4.0
Andy Carroll,36.90,"Jan 6, 1989",2009,Championship,39,2.08,17,12,2.855',20,7,0,0,29.0
Andy Carroll,36.90,"Jan 6, 1989",2009,FA Cup,3,1.33,2,0,202',20,0,0,0,2.0
Andy Carroll,36.90,"Jan 6, 1989",2010,Europa League,2,0.50,0,0,123',21,1,0,0,0.0
Andy Carroll,36.90,"Jan 6, 1989",2010,League Cup,1,000,0,0,33',21,0,0,0,0.0
Andy Carroll,36.90,"Jan 6, 1989",2010,Premier League,19,1.16,11,7,1.625',21,4,0,0,18.0
Andy Carroll,36.90,"Jan 6, 1989",2010,Premier League,7,1.86,2,0,448',21,1,0,0,2.0
Andy Carroll,36.90,"Jan 6, 1989",2011,FA Cup,6,2.50,4,3,398',22,0,0,0,7.0
Andy Carroll,36.90,"Jan 6, 1989",2011,League Cup,6,2.67,1,0,443',22,0,0,0,1.0
Andy Carroll,36.90,"Jan 6, 1989",2011,Premier League,35,1.29,4,3,2.063',22,5,0,0,7.0
Andy Carroll,36.90,"Jan 6, 1989",2012,Europa League Qualifying,-,-,0,0,0,23,0,0,0,0.0
Andy Carroll,36.90,"Jan 6, 1989",2012,Premier League,2,0.50,0,0,18',23,1,0,0,0.0
Andy Carroll,36.90,"Jan 6, 1989",2012,Premier League,24,1.33,7,4,1.936',23,5,0,0,11.0
Hakim Ziyech,36.00,"Mar 19, 1993",2012,Beloften Eredivisie,6,2.33,3,1,505',19,0,0,0,4.0
Hakim Ziyech,36.00,"Mar 19, 1993",2012,Beloften nacompetitie,19,1.00,11,0,1.605',19,2,0,0,11.0
Hakim Ziyech,36.00,"Mar 19, 1993",2012,Eredivisie,3,0.33,0,0,80',19,0,0,0,0.0
Hakim Ziyech,36.00,"Mar 19, 1993",2012,Europa League,-,-,0,0,0,19,0,0,0,0.0
Hakim Ziyech,36.00,"Mar 19, 1993",2012,Europa League Qualifying,2,1.50,0,1,98',19,1,0,0,1.0
Hakim Ziyech,36.00,"Mar 19, 1993",2012,Play-Offs Europa League,2,000,0,0,164',19,0,0,0,0.0
Hakim Ziyech,36.00,"Mar 19, 1993",2012,TOTO KNVB beker,1,3.00,0,0,87',19,0,0,0,0.0
Hakim Ziyech,36.00,"Mar 19, 1993",2013,Eredivisie,31,1.61,9,10,2.325',20,7,0,0,19.0
Hakim Ziyech,36.00,"Mar 19, 1993",2013,Play-Offs Europa League,2,1.50,0,0,135',20,0,0,0,0.0
Hakim Ziyech,36.00,"Mar 19, 1993",2013,TOTO KNVB beker,3,2.00,2,0,281',20,0,0,0,2.0
Hakim Ziyech,36.00,"Mar 19, 1993",2014,Eredivisie,2,0.50,2,0,173',21,1,0,0,2.0
Hakim Ziyech,36.00,"Mar 19, 1993",2014,Eredivisie,31,1.52,11,15,2.725',21,3,0,0,26.0
Hakim Ziyech,36.00,"Mar 19, 1993",2014,Europa League,2,1.00,0,0,156',21,0,0,0,0.0
Hakim Ziyech,36.00,"Mar 19, 1993",2014,KNVB Beker,5,2.40,4,2,490',21,1,0,0,6.0
Hakim Ziyech,36.00,"Mar 19, 1993",2015,Eredivisie,33,1.21,17,12,2.952',22,6,0,0,29.0
Hakim Ziyech,36.00,"Mar 19, 1993",2015,KNVB Beker,1,000,0,0,90',22,0,0,0,0.0
Hakim Ziyech,36.00,"Mar 19, 1993",2016,Eredivisie,28,2.43,7,12,2.402',23,2,0,0,19.0
Hakim Ziyech,36.00,"Mar 19, 1993",2016,Eredivisie,4,1.50,2,1,360',23,1,0,0,3.0
Hakim Ziyech,36.00,"Mar 19, 1993",2016,Europa League,13,1.62,2,5,999',23,1,1,0,7.0
Hakim Ziyech,36.00,"Mar 19, 1993",2016,KNVB Beker,1,3.00,1,2,73',23,0,0,0,3.0
Wissam Ben Yedder,36.00,"Aug 12, 1990",2010,Coupe de France,1,000,0,0,69',20,0,0,0,0.0
Wissam Ben Yedder,36.00,"Aug 12, 1990",2010,Coupe de la Ligue,-,-,0,0,0,20,0,0,0,0.0
Wissam Ben Yedder,36.00,"Aug 12, 1990",2010,Ligue 1,4,000,0,0,73',20,0,0,0,0.0
Wissam Ben Yedder,36.00,"Aug 12, 1990",2011,Coupe de France,1,000,0,0,7',21,0,0,0,0.0
Wissam Ben Yedder,36.00,"Aug 12, 1990",2011,Coupe de la Ligue,1,000,0,0,32',21,0,0,0,0.0
Wissam Ben Yedder,36.00,"Aug 12, 1990",2011,Ligue 1,9,0.67,1,0,186',21,1,0,0,1.0
Wissam Ben Yedder,36.00,"Aug 12, 1990",2012,Coupe de France,2,1.50,0,0,39',22,0,0,0,0.0
Wissam Ben Yedder,36.00,"Aug 12, 1990",2012,Coupe de la Ligue,1,3.00,0,1,38',22,0,0,0,1.0
Wissam Ben Yedder,36.00,"Aug 12, 1990",2012,Ligue 1,34,1.26,15,5,2.501',22,1,0,0,20.0
Wissam Ben Yedder,36.00,"Aug 12, 1990",2013,Coupe de France,2,1.50,0,0,63',23,1,0,0,0.0
Wissam Ben Yedder,36.00,"Aug 12, 1990",2013,Coupe de la Ligue,2,1.50,1,0,24',23,0,0,0,1.0
Wissam Ben Yedder,36.00,"Aug 12, 1990",2013,Ligue 1,38,1.29,16,5,3.003',23,2,0,0,21.0
Douglas Costa,36.00,"Sep 14, 1990",2009,Europa League,2.0,0.5,0,1,52',19,0,0,0,1.0
Douglas Costa,36.00,"Sep 14, 1990",2009,Premier Liga,13.0,2.85,5,1,578',19,3,0,0,6.0
Douglas Costa,36.00,"Sep 14, 1990",2010,Champions League,10.0,2.1,2,3,638',20,1,0,0,5.0
Douglas Costa,36.00,"Sep 14, 1990",2010,Premier Liga,27.0,2.33,5,7,1.702',20,4,0,0,12.0
Douglas Costa,36.00,"Sep 14, 1990",2010,Ukrainian Cup,4.0,3.0,0,0,180',20,0,0,0,0.0
Douglas Costa,36.00,"Sep 14, 1990",2010,Ukrainian Super Cup,1.0,3.0,0,1,90',20,1,0,0,1.0
Douglas Costa,36.00,"Sep 14, 1990",2011,Champions League,5.0,1.0,0,0,203',21,0,0,0,0.0
Douglas Costa,36.00,"Sep 14, 1990",2011,Premier Liga,27.0,2.59,6,3,1.453',21,5,0,0,9.0
Douglas Costa,36.00,"Sep 14, 1990",2011,Ukrainian Cup,4.0,3.0,1,0,240',21,0,0,0,1.0
Douglas Costa,36.00,"Sep 14, 1990",2011,Ukrainian Super Cup,1.0,0.0,0,0,90',21,0,0,0,0.0
Douglas Costa,36.00,"Sep 14, 1990",2012,Champions League,5.0,2.0,1,1,101',22,0,0,0,2.0
Douglas Costa,36.00,"Sep 14, 1990",2012,Premier Liga,27.0,2.59,5,2,1.309',22,0,0,0,7.0
Douglas Costa,36.00,"Sep 14, 1990",2012,Ukrainian Cup,3.0,3.0,0,0,100',22,1,0,0,0.0
Douglas Costa,36.00,"Sep 14, 1990",2012,Ukrainian Super Cup,1.0,3.0,1,0,65',22,0,0,0,1.0
Douglas Costa,36.00,"Sep 14, 1990",2013,Champions League,6.0,1.33,2,2,515',23,1,0,0,4.0
Douglas Costa,36.00,"Sep 14, 1990",2013,Europa League,2.0,0.5,0,0,177',23,1,0,0,0.0
Douglas Costa,36.00,"Sep 14, 1990",2013,Premier Liga,27.0,2.3,4,11,2.085',23,1,0,0,15.0
Douglas Costa,36.00,"Sep 14, 1990",2013,Ukrainian Cup,3.0,2.0,1,1,176',23,0,0,0,2.0
Douglas Costa,36.00,"Sep 14, 1990",2013,Ukrainian Super Cup,1.0,3.0,0,0,90',23,0,0,0,0.0
Douglas Costa,36.00,"Sep 14, 1990",2009,Libertadores,2.0,2.0,0,0,11',19,0,0,0,0.0
Douglas Costa,36.00,"Sep 14, 1990",2009,Série A,22.0,1.36,1,4,1.104',19,2,1,0,5.0
Gonçalo Guedes,36.00,"Nov 29, 1996",2015,Allianz Cup,4,3.00,0,2,179',19,1,0,0,2.0
Gonçalo Guedes,36.00,"Nov 29, 1996",2015,Champions League,7,1.57,1,0,495',19,2,0,0,1.0
Gonçalo Guedes,36.00,"Nov 29, 1996",2015,Liga NOS,18,2.56,3,6,915',19,0,0,0,9.0
Gonçalo Guedes,36.00,"Nov 29, 1996",2015,Liga Portugal 2,5,2.20,3,2,425',19,1,0,0,5.0
Gonçalo Guedes,36.00,"Nov 29, 1996",2015,Supertaça,1,000,0,0,9',19,0,0,0,0.0
Gonçalo Guedes,36.00,"Nov 29, 1996",2015,Taça de Portugal Placard,1,000,0,0,90',19,0,0,0,0.0
